Image_Path,Cluster
/data/images/hit-images-final/artefacts/2445104.png,6
/data/images/hit-images-final/artefacts/5270431.png,6
/data/images/hit-images-final/artefacts/10245995.png,8
/data/images/hit-images-final/artefacts/1661566.png,8
/data/images/hit-images-final/artefacts/2546357.png,8
/data/images/hit-images-final/artefacts/9423118.png,2
/data/images/hit-images-final/artefacts/2411757.png,7
/data/images/hit-images-final/artefacts/2500882.png,8
/data/images/hit-images-final/artefacts/9487453.png,0
/data/images/hit-images-final/artefacts/9487484.png,0
/data/images/hit-images-final/artefacts/1660491.png,4
/data/images/hit-images-final/artefacts/2500841.png,2
/data/images/hit-images-final/artefacts/9464045.png,0
/data/images/hit-images-final/artefacts/1631769.png,8
/data/images/hit-images-final/artefacts/2481230.png,4
/data/images/hit-images-final/artefacts/2547317.png,3
/data/images/hit-images-final/artefacts/1451757.png,7
/data/images/hit-images-final/artefacts/2574911.png,8
/data/images/hit-images-final/artefacts/1650397.png,2
/data/images/hit-images-final/artefacts/2546753.png,2
/data/images/hit-images-final/artefacts/1627889.png,7
/data/images/hit-images-final/artefacts/1625052.png,6
/data/images/hit-images-final/artefacts/2500921.png,4
/data/images/hit-images-final/artefacts/9419870.png,8
/data/images/hit-images-final/artefacts/9431642.png,2
/data/images/hit-images-final/artefacts/9421323.png,0
/data/images/hit-images-final/artefacts/9424501.png,0
/data/images/hit-images-final/artefacts/2453174.png,2
/data/images/hit-images-final/artefacts/1660042.png,2
/data/images/hit-images-final/artefacts/1683483.png,7
/data/images/hit-images-final/artefacts/1627321.png,0
/data/images/hit-images-final/artefacts/1683497.png,7
/data/images/hit-images-final/artefacts/5282062.png,6
/data/images/hit-images-final/artefacts/9425435.png,8
/data/images/hit-images-final/artefacts/1646052.png,4
/data/images/hit-images-final/artefacts/1429363.png,4
/data/images/hit-images-final/artefacts/5300049.png,6
/data/images/hit-images-final/artefacts/2466131.png,3
/data/images/hit-images-final/artefacts/2512840.png,2
/data/images/hit-images-final/artefacts/2575603.png,2
/data/images/hit-images-final/artefacts/9425352.png,2
/data/images/hit-images-final/artefacts/1683496.png,7
/data/images/hit-images-final/artefacts/9424925.png,0
/data/images/hit-images-final/artefacts/9424500.png,0
/data/images/hit-images-final/artefacts/9464642.png,8
/data/images/hit-images-final/artefacts/2498953.png,4
/data/images/hit-images-final/artefacts/9460424.png,2
/data/images/hit-images-final/artefacts/9463887.png,0
/data/images/hit-images-final/artefacts/2546752.png,2
/data/images/hit-images-final/artefacts/5277767.png,6
/data/images/hit-images-final/artefacts/1627888.png,7
/data/images/hit-images-final/artefacts/1650396.png,2
/data/images/hit-images-final/artefacts/9417653.png,0
/data/images/hit-images-final/artefacts/2598012.png,3
/data/images/hit-images-final/artefacts/1451756.png,7
/data/images/hit-images-final/artefacts/2400868.png,7
/data/images/hit-images-final/artefacts/2409694.png,4
/data/images/hit-images-final/artefacts/2598199.png,7
/data/images/hit-images-final/artefacts/9487485.png,0
/data/images/hit-images-final/artefacts/9444425.png,8
/data/images/hit-images-final/artefacts/9463930.png,0
/data/images/hit-images-final/artefacts/2598614.png,7
/data/images/hit-images-final/artefacts/9415656.png,3
/data/images/hit-images-final/artefacts/9487452.png,0
/data/images/hit-images-final/artefacts/2454578.png,3
/data/images/hit-images-final/artefacts/1441431.png,4
/data/images/hit-images-final/artefacts/2411756.png,7
/data/images/hit-images-final/artefacts/1670898.png,2
/data/images/hit-images-final/artefacts/9423119.png,2
/data/images/hit-images-final/artefacts/9441978.png,0
/data/images/hit-images-final/artefacts/2546356.png,3
/data/images/hit-images-final/artefacts/1661567.png,5
/data/images/hit-images-final/artefacts/10233802.png,8
/data/images/hit-images-final/artefacts/9441993.png,0
/data/images/hit-images-final/artefacts/1605975.png,4
/data/images/hit-images-final/artefacts/2546354.png,3
/data/images/hit-images-final/artefacts/9423127.png,2
/data/images/hit-images-final/artefacts/9415654.png,3
/data/images/hit-images-final/artefacts/2598616.png,7
/data/images/hit-images-final/artefacts/2411754.png,7
/data/images/hit-images-final/artefacts/1665515.png,2
/data/images/hit-images-final/artefacts/9469238.png,8
/data/images/hit-images-final/artefacts/2409696.png,4
/data/images/hit-images-final/artefacts/1690991.png,6
/data/images/hit-images-final/artefacts/2581555.png,2
/data/images/hit-images-final/artefacts/1650394.png,3
/data/images/hit-images-final/artefacts/9464873.png,2
/data/images/hit-images-final/artefacts/2547328.png,3
/data/images/hit-images-final/artefacts/9417679.png,0
/data/images/hit-images-final/artefacts/2500922.png,2
/data/images/hit-images-final/artefacts/9417876.png,0
/data/images/hit-images-final/artefacts/9424502.png,0
/data/images/hit-images-final/artefacts/1430355.png,4
/data/images/hit-images-final/artefacts/9463885.png,0
/data/images/hit-images-final/artefacts/9482138.png,0
/data/images/hit-images-final/artefacts/1666342.png,3
/data/images/hit-images-final/artefacts/1660041.png,2
/data/images/hit-images-final/artefacts/1683494.png,7
/data/images/hit-images-final/artefacts/9418990.png,8
/data/images/hit-images-final/artefacts/9481419.png,0
/data/images/hit-images-final/artefacts/9425344.png,2
/data/images/hit-images-final/artefacts/9425350.png,2
/data/images/hit-images-final/artefacts/5282061.png,7
/data/images/hit-images-final/artefacts/2512842.png,2
/data/images/hit-images-final/artefacts/2453188.png,4
/data/images/hit-images-final/artefacts/2466133.png,3
/data/images/hit-images-final/artefacts/2453189.png,4
/data/images/hit-images-final/artefacts/1429361.png,4
/data/images/hit-images-final/artefacts/9425351.png,2
/data/images/hit-images-final/artefacts/5282060.png,7
/data/images/hit-images-final/artefacts/9421651.png,0
